,HITId,WorkerId,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,image_url_x,labeled_image_fnames
12,3Z56AA6EK4D7KFWQ959FX7P74NM6ME,A3AQEEN6R71434,"[{""height"":199,""label"":""Shoe"",""left"":303,""top"":229,""width"":367},{""height"":256,""label"":""Shoe"",""left"":329,""top"":311,""width"":575}]",630,1200,https://storage.googleapis.com/shoes_to_label/shoe1182.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=rS%2Fb%2BoRgKjnMP0K1BhTDfGzhKTUND9Q3ybAP9LC33cZmEUtqU8Mm4cWtaUC1lZwrPrXPeuKCfUWrm%2Fvk%2BKkWdQN%2F%2FBPwF1b0XpTB6WLQXQYkCSmh%2BmUJRCFq59QKZBatGsQNm%2BHJgr00WiAbguS2G5K9qtdcdtvSSaKvc%2BzAZajG5gHO49H680HT5bfLaTb8bprUNKUrbuL4B7vL7aQUolhg2QwpVPFxTjocJjYHFvDttRd5%2FQb2bILst8pvh9AIJGqPfKb7XGzZ8oCP2SqRiibkaUs62gtxeeKDNmkUIIXESoC%2BoluXqVcmCrNccITi%2F0xxz4mxby31YR2EyzdgkQ%3D%3D,shoe_bb_12.png
13,363A7XIFV4ZRX422DARI08A6RZOAVP,A2EARNRMFJOSIY,"[{""height"":58,""label"":""Shoe"",""left"":44,""top"":16,""width"":146},{""height"":54,""label"":""Shoe"",""left"":41,""top"":118,""width"":148}]",216,233,https://storage.googleapis.com/shoes_to_label/shoe591.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=XXMh0clh3vm%2B1urOcTvqQYetxBdLX9v0ZN1FnGiZ%2BGnXXttCasyV2M4KB3jBGsADUsos0NggQR0AcboQAhZ31MKVcvJxlL6iRreVTDi0NNYC779%2B6D6FyKCW1CcRXgSCtrXUDgJk%2FkazwGFV7ZOM4ygG0VFA3PzPwtYqjpVlAyusMVRcrHN98T9VJRm1VW2AQbjHYaQIwm2E%2FSz3YR6H2Hs2jKEhTKtpJLOQgnIv82zufLPFxYhKzEeHuZhECEkLzdqef%2Fs9dF%2Fpju0QGKVUnRkAG5OpDw1mrENVDYfjDXPm9YQXCAwqkeyTNNdyXs7qf%2F6XUFGI51q8XlY7YVsDow%3D%3D,shoe_bb_13.png
14,3L2OEKSTW9NUIA4SLNUOBG85JSPY8H,A1FI4XZJQXOGPF,"[{""height"":184,""label"":""Shoe"",""left"":193,""top"":380,""width"":159},{""height"":169,""label"":""Shoe"",""left"":346,""top"":389,""width"":158}]",665,1000,https://storage.googleapis.com/shoes_to_label/shoe592.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=YBhXQjtLgg89lkNvE10cjKhLFBuPRAAaUS6qsJmywu0%2BTo8RwI3oKThm2zK3hnCpq%2ByqRdrnibU3FB5JWK0jTpkEZZDOQYFCLAPWaCm0wUW6ZDyNBAfsivLiQo44NqFz78sahIzBSWDZf0XiIPo1M8AtZzhy%2FLDZPORK%2F2Ng5Fbm3ka%2FSAZRY8tVowa0ItIJvcHHmAOyV51jPw2JQa5FlLGZ4nl0kr%2Bkhnp1RDNW8x%2FkZ2LcETf0%2BT8QALyd5sW1AoqwWjblhyK9ILOaIUXcgdPFlOjzbcMEsMCsRw1suJ2EqSqDZr5YiE32px6w2QUE40iDlUNVi13yhM%2B2ALOLKg%3D%3D,shoe_bb_14.png
15,3D3B8GE89240N1V1ZS4JYLA4ZT59PO,A1UM0VCYXPZWRQ,"[{""height"":52,""label"":""Shoe"",""left"":57,""top"":70,""width"":93},{""height"":58,""label"":""Shoe"",""left"":90,""top"":88,""width"":108}]",190,265,https://storage.googleapis.com/shoes_to_label/shoe1183.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=WOfOZY75nH%2F2ZxpscB8x2BXzdaI1WCB488P%2F4feAB1Lv6oRmcvDHEyk12v4tQiFgplIi1adkMhOXPA1Er0sJahIhI5Jsn9VvN8TM%2FWvAv7%2B3NCXxxKxbR6viTzTHRrO8RQk5cg6b%2F%2FkE0Q%2BnEYpK4SPd%2FiPwga3r7E83otfbzoKuggvXVaAs%2BNMHmSWw7YgnNT0hLvrxhL2OmVAWqMjIh0Eer2Jlgl6Ud4oD6EQIDBlydP0KWfTzePT02RsfeVBPEwiBDwPlSCpxktiaQMBjRIiO2eqKbNgtbJlNVZp3tgBx5AjMd4EdNIjJb2n8zIXVYAcB%2Fccz7bSF%2Bvtvg41YLQ%3D%3D,shoe_bb_15.png
16,379OL9DBSSRUWFN2QF02BC3G3Y7Y96,AJFS39RTZY3LC,"[{""height"":445,""label"":""Shoe"",""left"":208,""top"":510,""width"":379}]",1024,768,https://storage.googleapis.com/shoes_to_label/shoe593.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=ExYH91yo%2FxCGazKiJxXS%2BN%2F9ivpwT8JVuzvnW2kBar%2BFT9DhcokvW%2FJsBlaqTA0uHJrMppQDVI9mNPhpmoRdhTDjflESc%2B1SPJqhGa%2FXHDDIdnbNjKOw4gEJ3UKpK0sw9oLyt0Vej0KlL1yf7xndYhn2Qss1h75be%2FxbPRYYRq6%2F2EaN1DQHZYlZRFGsPIXhLmdKO1pzsHB%2FbCfUhsr8u0CiwxpAPdc52tvbzD%2FO5ZakqFie4gPaRFn0%2FBpiQtzxgeZzgKFrSQuBeS6UrMjX5FR4JKbZG2Ly4DHJnZJxc1MHiQer8Wmj%2F7E4mVJ9MkB5jmsFJd6K8YwQtXD%2FMwWkiw%3D%3D,shoe_bb_16.png
18,371DNNCG44FY1O5YBH7P3ZGQ4Q7T8N,A24H9XZ7OE8WMW,"[{""height"":693,""label"":""Shoe"",""left"":653,""top"":513,""width"":422},{""height"":363,""label"":""Shoe"",""left"":0,""top"":997,""width"":278},{""height"":410,""label"":""Shoe"",""left"":0,""top"":1017,""width"":290}]",1620,1080,https://storage.googleapis.com/shoes_to_label/shoe594.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=rlMNl6dQkxyeGD906DPXC%2FmfD5kgUornpDTF5syS916XVoj%2FbbohySs9lKnWRUGnF79QxzJXBMwxFQRr11snWZVycFTHcRpiUH6wAxT%2FwS%2Fh1Mexp01jhmTVNQ4e1e%2Bzo%2Fem70OvlXUL7mnObjUaSasPMXC6NxHPXYBcun%2BA%2FWd678wPZ7k6L4YEalXb4mHsJxBLsgJmLH54z0fzhQ%2BSdONSV2uBPNCUEBbAda0YGeRIBQ4%2BMjS1dQrqmShxJMt9tKX8ZEmYFFeCzhsmF6AtO2mSnh8ljra%2B8i6qbaYpGeCR4aGRNSwBsQIZjLQRkzpEOWxS3Z3Xxyhq3MYBg%2Byngg%3D%3D,shoe_bb_18.png
19,33BFF6QPI1O4S83MU5H4Z2FESYY3WW,A2SFP34EVH2AEI,"[{""height"":210,""label"":""Shoe"",""left"":3,""top"":4,""width"":232}]",214,235,https://storage.googleapis.com/shoes_to_label/shoe1185.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=qSWL7sHQOJmdOGcDGDE1dwoav%2FkFhxUjI%2FuzgAGxl1m7gJNE%2FN5qB4H3C7c8ovc9uF3VZEoRVU9kx21V55QvZAJik73db9Lqc1qzPf0DbqHxEgztCrLWihkcTjt3tGjn95EX2H2peg1LqR07xZiwYDVHHcZCbwVuENe4gfxE4JyBlbj%2FJJhMseFBNYG3Qf%2FvxKh1NPssvnh%2BthUvKgdYuKC9Mo4JX7MRp46JzlOHwREr6p6GhzXwJzwZeJ6hQzrxohs1lEquaNFlDX64gcJTcQxD4xncnZPUpiiJusWhYiSrGkCsR8ulJW5W6WAeCOk%2FXaMVutkTfx8osj8aX4ZihQ%3D%3D,shoe_bb_19.png
20,3R868ACW4SP9GFKF078VH0Y5D56ZGP,A1BSW1IB5IEEZ6,"[{""height"":43,""label"":""Shoe"",""left"":136,""top"":108,""width"":109}]",183,275,https://storage.googleapis.com/shoes_to_label/shoe1186.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Ourj3fVnU8tQXxCaeFvOn2jrReHsKiw4lVrmJv8DKlUccwjQ2hvAso4zInyNwdffMOZ32tXntChqKlIPpe4AQn8zLmOm9FeOMCzZQiOJQCl180ASFXx9Su0A2lcM6RjAN0waCKkpySFiYPAvEKd7%2FIOeIHADSaY0iRaCXWBt%2B3iqj%2FdfMHGfjxt3yUrlSgTQQkXX%2FdlBooTqQ8ogV37zOKwwbUVV1xYMbwVvwWB0X3U8gpYVsxuhZR0yTh%2FFJXjSoX8AIL6SvL6WePgOUDDUvC%2BSyn1fe4kqkHLzkxajgSWcQSHNqPi3nMAotEjcId0dMYm1hsnKwUOI7NeID1uMlw%3D%3D,shoe_bb_20.png
21,3IV1AEQ4DRQ4NL9TZNTL1TTH6OHJ89,AD1ILDUXZHASF,"[{""height"":111,""label"":""Shoe"",""left"":67,""top"":47,""width"":178},{""height"":71,""label"":""Shoe"",""left"":74,""top"":42,""width"":141}]",168,299,https://storage.googleapis.com/shoes_to_label/shoe1187.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Ltwh%2FZPVxCl63elcBnvlVeQAHy2NzSdCSh3idnE8WvvUcJNxDdFrL8nKtorMsmvu0DpD7Q0hzxJwH7daQE%2B%2FPIVlWcU%2Fclx9Vtfsu8xq%2BDiBLN4wNvqo%2FbBmY8D%2B0E8MDZt0EOPzsp80ZVYEhHbAxDjnEmk2Lp0k%2B5NZrnPiBK8HbrTwFkuXcw%2F4L2n45J5nCS4qcAudrxhPsA7IqDiG5%2FyOk5nss1gM9cDlBJBPsKZJsIwufVKicDjbI2Y%2F55gwwscJYdsEOrupoGWCe9%2B3zJf8%2BxwJhhm8u61Zq6oTzq6GVESp3%2Bzx7iCvtZRn2ebafJrtTN0IZ4bJpBL2cYAdRA%3D%3D,shoe_bb_21.png
22,335VBRURDJDWQA6BQEO849B0LM3E98,A1ZMSZ4SOJYLMX,"[{""height"":95,""label"":""Shoe"",""left"":0,""top"":101,""width"":219}]",197,255,https://storage.googleapis.com/shoes_to_label/shoe1188.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=p9eCdHa%2Bg6Kh%2FfFE3zopyMjEm9H9RZ4mrYWG5Ii8Rwdqsl2qh44PPK6j6kvJOQoMZ30sl2yEJpSlEZu4%2Fx79M7P0wo9T12L%2BvqhwNjwXO%2BRTZs2MBJRQjnKZg22OoL0kJpkv3t%2Fn7Ln0Rb2yrxSKqtGuZ6aeaJLvFo23OM3QISrooeWT9FqlimX7sQCFpNJkmC6q8tuKyqY8%2BbbCh9OlduOh63l4NSGhu7PoUHy69%2BjqZa6U%2BKlxEaMcXGsoKZ3MEQ2jbx8G51%2B3yDKqPxrEWGuy1Q4m0fHD2wAFAJ5z8QMsUfSKLK00BSbtKFeq0BPT4qKZLUpBzxtW1WKZ4CQ4yg%3D%3D,shoe_bb_22.png
24,3MGHRFQY2L2C0LZPQJH9I12N0UE0YX,A1FI4XZJQXOGPF,"[{""height"":165,""label"":""Shoe"",""left"":539,""top"":337,""width"":229},{""height"":68,""label"":""Shoe"",""left"":187,""top"":582,""width"":204}]",661,889,https://storage.googleapis.com/shoes_to_label/shoe596.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Uyb8YeKmDe98Dl8YFqNtTAMJ8aEiOvvYcvnyXbGkFe%2FIVPkilW6Pwle03as0%2FJCL0JTTSN2SrU8Rul%2FwVHgXw0c0dHOpwQD8VTf%2F%2B8X52xeAZTXG%2F8c17aGHbYBarmPPoKmCNXEP6O2L9Ri%2BMATu%2B3TlBkbtuYu56%2F4g%2FZP1NbK2JIR5Mft1FZ6PcK6BISTQeNhDDIarpR1PGhNOtCo4yeH%2FVHUKB%2FVBPI0xot4F0id1F7igEthpifzT2HiQDLQW2%2BSoyQz0XVhq687RhvqzEU4McTeB1Mo8%2B5GIYOj3zA2qFo%2B%2BtVo7hVdQ2kCNusZDCgT%2Fi3reWiZZuD1yShwFyA%3D%3D,shoe_bb_24.png
25,3E24UO25QZ3VKIH2MLOSPBECZN16OT,A1PIWVNLBFYV4X,"[{""height"":137,""label"":""Shoe"",""left"":87,""top"":12,""width"":55},{""height"":115,""label"":""Shoe"",""left"":182,""top"":5,""width"":81},{""height"":127,""label"":""Shoe"",""left"":140,""top"":5,""width"":68}]",168,300,https://storage.googleapis.com/shoes_to_label/shoe1189.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=mLY8niOlLNu%2FZt5KocX%2BZd8qWCJ%2FCDHuwH3mMAsi%2FMM%2BNcllHPU%2BmrSGaaNa1aPXD6hIcEGRyx97tUlZzIU17rD6UGRaD0wbdUaZiVSfG%2B0wPjS%2Fh9eio%2FG9Ru%2BsX2ihvXqbk8rHIezWxPHyZR4c448XruOI9T8TBAHOPFp3tiWbNa7U7xmQJqdaa%2Fb5Q8YRqs%2FbJE4oQ0IeAKXkvdoypMJfgsNoZt9gkhWSgVzw4glfyt0OUUZzPG9RrKJVSkUVys981OWkej9PbrDjYiukRPQK%2Fhh3tWLbTW9wlgZJAW5dYbD3MTsqtDpS7ocxr%2Fv8PGeXDUXlBBdtO05ew%2FMkcQ%3D%3D,shoe_bb_25.png
26,3RBI0I35XEG8HDYM96ZSKZ0U36Y3YV,A28Y23HPV6ZIIB,"[{""height"":72,""label"":""Shoe"",""left"":35,""top"":192,""width"":51},{""height"":47,""label"":""Shoe"",""left"":96,""top"":113,""width"":86}]",275,183,https://storage.googleapis.com/shoes_to_label/shoe119.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=eA7PbHSV2Q%2F0atZuQDU8H0U8tss5JKy7DsH8owyYdyvAP6EVKedz13%2Fk2WGOqAagin5CJpbD9ryoZUM6CfYySRZHUnEXH4fG3SKuv5%2BsayYk6iDPnPvgh5b%2BtrEmiaUBYqWYZNrGo64%2BrFdezxNU%2F8AnjiL6ePJteJMrK%2BrzxaI2THeoCtNnf%2For7jC54DDa5AWiGhoWWcydJ%2FshRjrj6Schn1cZBrNhyC2vy9LIgcd4ZKUBqgScIBbPflZ6XpDYrLDSH%2F0QfNfX56DwAXEpP%2B4jLQ3qCbtgVJKtX2B9nPrqRGr5HQ4DxDTPrAzHSWyACENdSyIRutrs9ZA8HgbL6w%3D%3D,shoe_bb_26.png
27,341H3G5YF0RC5B9UM5JSW8BP6OI0ZO,A152S7LOEE5B38,"[{""height"":252,""label"":""Shoe"",""left"":70,""top"":48,""width"":352},{""height"":115,""label"":""Shoe"",""left"":124,""top"":299,""width"":281}]",450,600,https://storage.googleapis.com/shoes_to_label/shoe597.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=U2U5h37WPcbisXwGFVxff5kSqPUfgHAL2%2FzcLiKVgVaJms1KWN1YthgjfAJ9OLLlixNjrBP0KxTdvnSnep4eja%2F1XV6TK4WsiYRoA17n2uPqaI14d41yyFFceQwehgcVYEwPHmEj2SlLXtBpJbl%2BxtOkRJadU6bzryfkU80yT%2Fcfve5cRKL1Zprb7a7mlbFAoYjKc4AfRkGW4xBwYFcW1Q4Nx8MvJsr8OfP2R8XXGC7jgNdMBH7wh7Go5xPCP6TgoRSnwJ1sprfODCxaxuK%2FwHrqXnVQdRXPWt9kh2ZJjzgaYMlZg3UZrNxZko31kVVk989zOwR7Ni%2BEeQNSLY72wg%3D%3D,shoe_bb_27.png
